key,scenario_id,turn,winner,baseline_total,photon_total,delta,baseline_latency_ms,photon_latency_ms,baseline_citations,photon_citations,baseline_notes,photon_notes
chain_A2_A3_A5:A2:T1,A2,1,photon_latency,10,10,0,16624.2,12961.8,6,4,,
chain_A2_A3_A5:A2:T2,A2,2,photon,7,10,3,10781.4,7004.4,1,1,answer_missing=1;evidence_missing=1,
chain_A2_A3_A5:A2:T3,A2,3,photon_latency,10,10,0,13658.9,9116.2,4,2,,
chain_A2_A3_A5:A3:T1,A3,1,photon_latency,10,10,0,12134.0,9784.0,3,8,,
chain_A2_A3_A5:A3:T2,A3,2,photon,9,10,1,13190.3,9996.5,8,4,evidence_missing=1,
chain_A2_A3_A5:A3:T3,A3,3,photon_latency,10,10,0,10059.5,8252.1,5,2,,
chain_A2_A3_A5:A5:T1,A5,1,photon_latency,10,10,0,9235.0,6854.7,1,1,,
chain_A2_A3_A5:A5:T2,A5,2,photon_latency,10,10,0,13560.3,6520.9,4,2,,
chain_A2_A3_A5:A5:T3,A5,3,photon,4,10,6,21082.8,7718.2,7,2,forbidden_answer;evidence_missing=1;forbidden_cited_paths=2;too_many_citations=7>6,
single_A1:A1:T1,A1,1,tie,10,10,0,14228.2,14308.7,4,2,,
single_A1:A1:T2,A1,2,photon,9,10,1,14867.3,10806.3,7,7,evidence_missing=1,
single_A1:A1:T3,A1,3,photon,8,10,2,13275.9,9360.1,5,2,evidence_missing=1;forbidden_cited_paths=1,
single_A2:A2:T1,A2,1,photon_latency,10,10,0,16584.6,12991.0,6,4,,
single_A2:A2:T2,A2,2,photon,7,10,3,10844.4,6820.2,1,1,answer_missing=1;evidence_missing=1,
single_A2:A2:T3,A2,3,photon_latency,10,10,0,13679.2,9145.5,4,2,,
single_A3:A3:T1,A3,1,tie,10,10,0,13471.1,14461.5,8,8,,
single_A3:A3:T2,A3,2,photon,9,10,1,10212.9,25011.1,8,3,evidence_missing=1,
single_A3:A3:T3,A3,3,baseline_latency,10,10,0,9079.8,10781.0,6,5,,
single_A4:A4:T1,A4,1,tie,10,10,0,8140.6,8256.9,7,8,,
single_A4:A4:T2,A4,2,photon_latency,10,10,0,7637.7,6465.9,3,6,,
single_A4:A4:T3,A4,3,photon_latency,10,10,0,9529.6,5960.0,2,2,,
single_A5:A5:T1,A5,1,tie,10,10,0,8222.3,8569.1,1,1,,
single_A5:A5:T2,A5,2,photon_latency,10,10,0,8775.7,6542.4,2,2,,
single_A5:A5:T3,A5,3,photon,4,10,6,20600.4,7614.8,8,2,forbidden_answer;evidence_missing=1;forbidden_cited_paths=2;too_many_citations=8>6,
single_B1:B1:T1,B1,1,tie,10,10,0,14926.8,16970.4,6,5,,
single_B1:B1:T2,B1,2,photon_latency,10,10,0,13695.5,10001.7,2,4,,
single_B1:B1:T3,B1,3,photon_latency,10,10,0,9154.1,6591.1,3,2,,
single_B2:B2:T1,B2,1,tie,10,10,0,7962.9,8481.8,3,2,,
single_B2:B2:T2,B2,2,photon,6,10,4,14679.6,11085.0,8,1,evidence_missing=1;forbidden_cited_paths=2;too_many_citations=8>5,
single_B2:B2:T3,B2,3,tie,10,10,0,13795.0,13393.5,4,4,,
single_B3:B3:T1,B3,1,tie,10,10,0,10498.0,10522.3,8,8,,
single_B3:B3:T2,B3,2,photon,8,10,2,9726.8,8922.4,8,4,evidence_missing=1,
single_B3:B3:T3,B3,3,photon_latency,10,10,0,10837.0,8336.1,5,2,,
single_B4:B4:T1,B4,1,tie,10,10,0,8071.8,9217.8,8,8,,
single_B4:B4:T2,B4,2,photon_latency,10,10,0,10749.9,7725.6,4,5,,
single_B4:B4:T3,B4,3,photon_latency,10,10,0,8537.8,6251.1,5,3,,
single_B5:B5:T1,B5,1,tie,10,10,0,10535.2,12113.2,8,8,,
single_B5:B5:T2,B5,2,photon_latency,10,10,0,13114.2,10612.7,7,7,,
single_B5:B5:T3,B5,3,baseline,10,9,-1,9233.8,10845.3,3,2,,evidence_missing=1
single_C1:C1:T1,C1,1,tie,10,10,0,9663.5,9079.3,3,2,,
single_C1:C1:T2,C1,2,photon,7,10,3,13287.2,6925.7,8,4,evidence_missing=1;too_many_citations=8>6,
single_C1:C1:T3,C1,3,photon,6,10,4,14730.3,11967.7,8,3,evidence_missing=1;forbidden_cited_paths=7,
single_C2:C2:T1,C2,1,tie,10,10,0,10666.4,11682.1,8,8,,
single_C2:C2:T2,C2,2,photon_latency,9,9,0,17158.9,11666.9,8,8,evidence_missing=1,evidence_missing=1
single_C2:C2:T3,C2,3,photon_latency,9,9,0,10280.0,5431.3,6,4,evidence_missing=1,evidence_missing=1
single_C3:C3:T1,C3,1,tie,10,10,0,12857.8,13295.9,8,8,,
single_C3:C3:T2,C3,2,tie,10,10,0,10621.7,10616.1,4,5,,
single_C3:C3:T3,C3,3,photon,7,10,3,11195.9,8409.2,6,3,answer_missing=1;evidence_missing=1,
single_C4:C4:T1,C4,1,tie,10,10,0,7774.1,8330.3,2,3,,
single_C4:C4:T2,C4,2,photon,3,10,7,10361.5,6799.7,5,1,answer_missing=1;evidence_missing=1;forbidden_cited_paths=4;missing_cautious_answer,
single_C4:C4:T3,C4,3,photon,6,10,4,8418.9,6661.9,4,4,answer_missing=1;evidence_missing=1;forbidden_cited_paths=1,
